title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords
The Hills Have Eyes,Wes Craven,1977,United States,64,54%,https://resizing.flixster.com/UYIQKU5iTfyiAzZNxfkltEW7G-I=/206x305/v1.bTsxMjIwMTQ1MDtqOzE3Mjg2OzEyMDA7MzU0OzUwMA,https://rottentomatoes.com/m/1009645-hills_have_eyes,,
House,Nobuhiko Obayashi,1977,Japan,89,80%,https://resizing.flixster.com/gT8HXlMzlB92rCqT6pUxSiz1Pc4=/206x305/v1.bTsxMTIxMzc4NDtqOzE3MzY0OzEyMDA7MTU3NjsyMTAx,https://rottentomatoes.com/m/house_1977,,
It Happened at Lakewood Manor,Robert Scheerer,1977,United States,,24%,https://resizing.flixster.com/ePCwHmDNyoAGS5Rviwv_4pWT6QY=/206x305/v1.bTsxMTIyMDUxMTtqOzE3MzY0OzEyMDA7MTczNjsyNDY0,https://rottentomatoes.com/m/it_happened_at_lakewood_manor,5.1,hotel
Kingdom of the Spiders,John Cardos,1977,United States,44,37%,https://resizing.flixster.com/iAjFBrWNPRhcTBOC57eQUFO8Sv8=/206x305/v1.bTsxMTIwNzY5ODtqOzE3MzY0OzEyMDA7NDAwMDszMDAw,https://rottentomatoes.com/m/kingdom_of_the_spiders,5.9,hotel::doll
Last Cannibal World,Ruggero Deodato,1977,Italy,,52%,https://resizing.flixster.com/3aMQGec2DnaBWBUnVjXVPsGwF3A=/206x305/v1.bTsxMTYxNjA2ODtqOzE3MzY5OzEyMDA7NTAwOzc1MA,https://rottentomatoes.com/m/jungle_holocaust,6.2,snake::gore
"Lisa, Lisa",Frederick R. Friedel,1977,United States,,,,,,
Orca: The Killer Whale,Michael Anderson,1977,United States,15,33%,https://resizing.flixster.com/Bf9x5Mly9nCGSAcKAO8xG-bv3OQ=/206x305/v1.bTsxMTIwNDUzOTtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/orca_the_killer_whale,5.6,gore::shark
The Pack,Robert Clouse,1977,United States,,54%,https://resizing.flixster.com/6ND0tEAk1o4ZIe1O6rEB54qGv_A=/206x305/v1.bTsxMTU1NzcxMjtqOzE3MzY4OzEyMDA7NTQzOzgyNQ,https://rottentomatoes.com/m/the_pack_1977,,
The Possessed,Jerry Thorpe,1977,United States,,25%,https://resizing.flixster.com/NXc91F9o_8sZ7wH0qEcJSmG244g=/206x305/v1.bTsxMTYyNDIzNTtqOzE3MzY5OzEyMDA7NDY5OzcwNw,https://rottentomatoes.com/m/1028642-possessed,,
Rabid,David Cronenberg,1977,Canada,68,45%,https://resizing.flixster.com/CAaVwlIOmHQ_Ts3pRCDCCHBmRb0=/206x305/v1.bTsxMTYxNTgxMjtqOzE3MzY5OzEyMDA7MzI1OzQ3NQ,https://rottentomatoes.com/m/rabid_1977,6.4,infection::vampire
