id,title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords,image
54,Night of the Eagle,Sidney Hayers,1962,United Kingdom,75,68,https://resizing.flixster.com/0sZHDJS3892C0YF9DemFLZFrnJw=/206x305/v1.bTsxMjExMDk5OTtqOzE3Mjg1OzEyMDA7NTk0OzEwNzg,https://rottentomatoes.com/m/burn_witch_burn,7.0,witchcraft::based on novel,/content/images/night_of_the_eagle1962.png
55,The Phantom of the Opera,Terence Fisher,1962,United Kingdom,,50,https://resizing.flixster.com/WKQFrsmRUHORmQ90xtNgxH1ckDU=/206x305/v1.bTsxMTYxOTgyNjtqOzE3MzY5OzEyMDA7NjA2OzgwOA,https://rottentomatoes.com/m/1059258-phantom_of_the_opera,,,/content/images/the_phantom_of_the_opera1962.png
56,The Premature Burial,Roger Corman,1962,United States,50,44,https://resizing.flixster.com/u1AnNWLpC9_5QoWCgqb-zfy775M=/206x305/v1.bTsxMTYyMzc0NjtqOzE3MzY5OzEyMDA7Nzk4OzEwNjQ,https://rottentomatoes.com/m/the_premature_burial,6.6,graveyard,/content/images/the_premature_burial1962.png
57,The Sadistic Baron von Klaus,Jes&uacute;s Franco,1962,Spain & France,,33,https://resizing.flixster.com/H_i-8i01Vre8eTTUHeEr9LPT8Xk=/206x305/v1.bTsxMjExMjc3OTtqOzE3Mjg1OzEyMDA7OTk7MTQw,https://rottentomatoes.com/m/sadistic_baron_von_klaus,6.1,,/content/images/the_sadistic_baron_von_klaus1962.png
58,Slaughter of the Vampires,Roberto Mauri,1962,Italy,,13,https://resizing.flixster.com/Q0ICeutR_rNPU8EK_rcCIlipqzY=/206x305/v1.bTsxMTU2NjgxNjtqOzE3MzY4OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/slaughter_of_the_vampires,,,/content/images/slaughter_of_the_vampires1962.png
59,Tales of Terror,Roger Corman,1962,United States,71,62,https://resizing.flixster.com/hzkF16Pynf9F2rTjKanhJmskqfw=/206x305/v1.bTsxMTIxMTE2NDtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1021067-terror,,,/content/images/tales_of_terror1962.png
60,Tower of London,Roger Corman,1962,United States,,,,,6.4,ghost::puppet,/content/images/tower_of_london1962.png
61,At Midnight I'll Take Your Soul,Jos&eacute; Mojica Marins,1963,Brazil,,,,,,,/content/images/at_midnight_ill_take_your_soul1963.png
62,The Birds,Alfred Hitchcock,1963,United States,96,83,https://resizing.flixster.com/cQsOnLkxJYuAPRL6Sv7Pse8gDbQ=/206x305/v1.bTsxMTE3Nzc5NjtqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/1002448-birds,7.7,,/content/images/the_birds1963.png
63,Black Sabbath,Mario Bava,1963,Italy & France,87,76,https://resizing.flixster.com/66mQhiQUOlvpCwANV4Ax9rR3rYY=/206x305/v1.bTsxMTIxMDkyNztqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/black_sabbath,7.2,vampire::ghost::based on novel,/content/images/black_sabbath1963.png
64,Black Zoo,Robert Gordon,1963,United States,,,https://resizing.flixster.com/aX9eH0XAhI9IgX-LW_vvhWQWh4Q=/206x305/v1.bTsxMjExMzQ5OTtqOzE3Mjg1OzEyMDA7MjEzOzMwNA,https://rottentomatoes.com/m/black_zoo,5.6,,/content/images/black_zoo1963.png
65,The Blancheville Monster,Alberto De Martino,1963,Italy & Spain,,10,https://resizing.flixster.com/DNMu_ZKcAYocpV9sjf_oObZeyfs=/206x305/v1.bTsxMTYxNzgyNztqOzE3MzY5OzEyMDA7MzUyOzUwMA,https://rottentomatoes.com/m/blancheville_monster,5.1,monster,/content/images/the_blancheville_monster1963.png
66,Blood Feast,Herschell Gordon Lewis,1963,United States,36,46,https://resizing.flixster.com/DXE0zDUl2pDBeXuiZylxglVAo00=/206x305/v1.bTsxMjIwMjI2NjtqOzE3Mjg2OzEyMDA7MzUxOzQ3NQ,https://rottentomatoes.com/m/1002611-blood_feast,,,/content/images/blood_feast1963.png
67,The Comedy of Terrors,Jacques Tourneur,1963,United States,,,,,6.8,,/content/images/the_comedy_of_terrors1963.png
68,Dementia 13,Francis Ford Coppola,1963,United States,67,36,https://resizing.flixster.com/3omdkGvY1DW_S3qi0_-kzBvSXQY=/206x305/v1.bTsxMTYxNjMxMztqOzE3MzY5OzEyMDA7NzI5Ozk3Mg,https://rottentomatoes.com/m/dementia_13,5.7,doll,/content/images/dementia_131963.png
69,Diary of a Madman,Reginald Le Borg,1963,United States,,56,https://resizing.flixster.com/NOo0nv1sbL1gMQv_xo4UW34mATM=/206x305/v1.bTsxMTYxODY2NDtqOzE3MzY5OzEyMDA7NjYwOzg4MA,https://rottentomatoes.com/m/diary_of_a_madman,6.4,possession,/content/images/diary_of_a_madman1963.png
70,The Ghost,Riccardo Freda,1963,Italy,,,,,,,/content/images/the_ghost1963.png
71,The Haunted Palace,Roger Corman,1963,United States,71,66,https://resizing.flixster.com/JqpCSL-4zWhdYa2CkrMjDnAwqVU=/206x305/v1.bTsxMTYxOTgzNjtqOzE3MzY5OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/haunted_palace,6.8,monster::haunting::ghost::possession,/content/images/the_haunted_palace1963.png
72,The Haunting,Robert Wise,1963,United Kingdom & United States,86,82,https://resizing.flixster.com/YlugNXxpx5rlXHXtKNU-DKfrD6M=/206x305/v1.bTsxMTIwMzg0OTtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1009277-haunting,7.6,haunted house::ghost::based on novel,/content/images/the_haunting1963.png
73,House of the Damned,Maury Dexter,1963,United States,,27,https://resizing.flixster.com/w_8i4YW3b-Ulzy1xhwN6Ikk3H0k=/206x305/v1.bTsxMTIyMTgwNDtqOzE3MzY0OzEyMDA7MTUxNjsyMTQz,https://rottentomatoes.com/m/house_of_the_damned,,,/content/images/house_of_the_damned1963.png
74,Katarsis,Giuseppe Veggezzi,1963,Italy,,,,,5.7,devil::ghost,/content/images/katarsis1963.png
75,The Kiss of the Vampire,Don Sharp,1963,United Kingdom & United States,83,64,https://resizing.flixster.com/TK4G85an6Yofqo3QfyGgdV8FaKg=/206x305/v1.bTsxMjE5MDIzMTtqOzE3Mjg2OzEyMDA7ODQwOzExMjA,https://rottentomatoes.com/m/the_kiss_of_the_vampire,6.4,vampire::hotel::satanism::graveyard,/content/images/the_kiss_of_the_vampire1963.png
76,Matango,Ishirō Honda,1963,Japan,,67,https://resizing.flixster.com/oG0KAMvhnJjt9hGX6rPeGSs8V-U=/206x305/v1.bTsxMjE4NjkxMDtqOzE3Mjg2OzEyMDA7MTEwOzE1MA,https://rottentomatoes.com/m/matango,6.6,monster,/content/images/matango1963.png
77,The Old Dark House,William Castle,1963,United Kingdom & United States,,17,https://resizing.flixster.com/lq4GsyVQXa984dLLnGQXHevlpks=/206x305/v1.bTsxMTIxOTA2OTtqOzE3MzY0OzEyMDA7ODk3OzExOTY,https://rottentomatoes.com/m/10003373-old_dark_house,,,/content/images/the_old_dark_house1963.png
78,Paranoiac,Freddie Francis,1963,United Kingdom & United States,,71,https://resizing.flixster.com/EhMaP_ok_2LDtDPDSVrT-YQqDi4=/206x305/v1.bTs3ODk0MTUzO2o7MTcyODE7MTIwMDsxNDc7MjI1,https://rottentomatoes.com/m/paranoiac,7.0,,/content/images/paranoiac1963.png
79,The Raven,Roger Corman,1963,United States,92,64,https://resizing.flixster.com/MmINw_AR9Hw8OO_x4HdH7CdMV5g=/206x305/v1.bTsxMTIxNTY1NztqOzE3MzY0OzEyMDA7MTIxNTsxNjIw,https://rottentomatoes.com/m/1017222-raven,,,/content/images/the_raven1963.png
80,Slime People,Robert Hutton,1963,United States,,,,,,,/content/images/slime_people1963.png
81,The Terror,Roger Corman,1963,United Kingdom & United States,36,22,https://resizing.flixster.com/lxERcD6a0oJzo6udM8AKKIpCjJQ=/206x305/v1.bTsxMTI5NTYyNDtqOzE3MzY1OzEyMDA7MTIxODsyMjEz,https://rottentomatoes.com/m/the-terror-the-haunting-lady-of-the-shadows,,,/content/images/the_terror1963.png
82,Tomb of Torture,Antonio Boccacci,1963,Italy,,,https://resizing.flixster.com/eVKJNvIsaHGO6s912QPZT3R2H7U=/206x305/v1.bTsxMjE1MjUwNTtqOzE3Mjg1OzEyMDA7MTQ0OzE5Ng,https://rottentomatoes.com/m/tomb_of_torture,5.2,monster::gore,/content/images/tomb_of_torture1963.png
83,Twice-Told Tales,Sidney Salkow,1963,United States,57,53,https://resizing.flixster.com/k2Ch-t6vLytMGXiBFDdUJN5gyVY=/206x305/v1.bTsxMTYyMzc0NDtqOzE3MzY5OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/twicetold_tales,6.7,ghost::haunted house::based on novel,/content/images/twicetold_tales1963.png
84,The Virgin of Nuremberg,Antonio Margheriti,1963,Italy,,,,,5.9,based on novel,/content/images/the_virgin_of_nuremberg1963.png
85,The Whip and the Body,Mario Bava,1963,Italy & France,71,68,https://resizing.flixster.com/MeWz42-dwIBoZHZ-utFkzNLgA3Q=/206x305/v1.bTsxMjM1NTU4MTtqOzE3Mjg4OzEyMDA7MTEwOzE1NA,https://rottentomatoes.com/m/whip_and_the_body,6.9,ghost,/content/images/the_whip_and_the_body1963.png
86,2000 Maniacs,Herschell Gordon Lewis,1964,United States,36,49,https://resizing.flixster.com/pHSAoQNZkGM6uxVwRpOH3VPRxfI=/206x305/v1.bTsxMTIxMTE0NztqOzE3MzY0OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/2000_maniacs,5.9,gore::ghost,/content/images/2000_maniacs1964.png
87,The Black Torment,Robert Hartford-Davis,1964,United Kingdom,,,,,5.7,ghost,/content/images/the_black_torment1964.png
88,Blood and Black Lace,Mario Bava,1964,Italy & France & West Germany,,,,,7.3,slasher::gore,/content/images/blood_and_black_lace1964.png
89,Castle of Blood,Antonio Margheriti,1964,Italy & France,,66,https://resizing.flixster.com/T28IyxtEwD5miELQVboi2nuFh1E=/206x305/v1.bTsxMjEwMDA0NztqOzE3Mjg1OzEyMDA7MTUyNTsyMTYx,https://rottentomatoes.com/m/castle_of_blood,7.0,snake::vampire::ghost,/content/images/castle_of_blood1964.png
90,Castle of the Living Dead,Warren Kiefer,1964,Italy & France,,17,https://resizing.flixster.com/YSNO0stu41G_UcXxRSSXPl4VWYQ=/206x305/v1.bTsxMTU1MDAyNztqOzE3MzY4OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/castle_of_the_living_dead,,,/content/images/castle_of_the_living_dead1964.png
91,Cien Gritos de Terror,Ram&oacute;n Obon,1964,United States,,,,,,,/content/images/cien_gritos_de_terror1964.png
92,The Creeping Terror,Art J. Nelson,1964,United States,,13,https://resizing.flixster.com/VDbSjNIcVJYvdo0SDQ6Lou4nm9A=/206x305/v1.bTsxMTIxNjk4ODtqOzE3MzY0OzEyMDA7MTI4MDs3MjA,https://rottentomatoes.com/m/the-creeping-terror-dangerous-charter-the-crawling-monster,2.1,monster::alien,/content/images/the_creeping_terror1964.png
93,The Curse of the Living Corpse,Del Tenney,1964,United States,,17,https://resizing.flixster.com/TI-nyORX15Y3POKNdcgtJgG74CQ=/206x305/v1.bTsxMTMwMjY0OTtqOzE3MzY1OzEyMDA7MTI4MDs3MjA,https://rottentomatoes.com/m/the_curse_of_the_living_corpse,5.3,,/content/images/the_curse_of_the_living_corpse1964.png
94,The Curse of the Mummy's Tomb,Michael Carreras,1964,United Kingdom,,31,https://resizing.flixster.com/CKcvdHJ6n23jL5Y1M0ggW5AHua4=/206x305/v1.bTs1MjQ0Mjc2O2o7MTczNDA7MTIwMDszNTA7NTcy,https://rottentomatoes.com/m/the_curse_of_the_mummys_tomb,5.6,monster,/content/images/the_curse_of_the_mummys_tomb1964.png
95,Devil Doll,Lindsay Shonteff,1964,United Kingdom & United States,20,29,https://resizing.flixster.com/aur-KSYvtF3ZnSVOVjlFD0RGzbA=/206x305/v1.bTsxMTIxOTI0MztqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1005762-devil_doll,,,/content/images/devil_doll1964.png
96,Dr. Orloff's Monster,Jes&uacute;s Franco,1964,Austria & Spain,,,,,,,/content/images/dr_orloffs_monster1964.png
97,Dungeon of Harrow,Pat Boyette,1964,United States,,7,https://resizing.flixster.com/vyK9fWIuHSwuYFFLlhdl7srJYg0=/206x305/v1.bTsxMTI5NDYyNDtqOzE3MzY1OzEyMDA7MTE3ODsxNjAw,https://rottentomatoes.com/m/dungeon_of_harrow,,,/content/images/dungeon_of_harrow1964.png
